TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
KLBN4;3.93;7.05;5.6;2.77;0.5;48.77;36.05;21.44;3.33;6.43;3.09;2.57;1.2;2.8;-0.71;2.45;49.48;8.91;13.75;0.18;0.78;0.42;18.37;9.71;5149885.89;1.42;0.7;0.07;22145733244.15
KRSA3;3.21;;-39.85;1.98;0.57;25.41;10.85;-4.08;14.99;25.6;10.61;1.4;1.63;-140.42;-0.75;0.98;-4.96;-1.43;3.59;0.29;0.69;0.35;;;470290.61;1.62;-0.08;0.12;2478862110.27
LAME3;6.6;;21.15;1.91;0.28;32.9;4.35;2.27;11.03;16.86;5.87;1.01;0.48;1.2;-0.66;1.72;9.02;1.34;2.89;0.15;0.63;0.59;3.5;18.61;19173026.13;3.46;0.31;-46.97;12391135396.59
LAME4;6.57;;21.06;1.9;0.28;32.9;4.35;2.27;10.98;16.86;5.87;1.01;0.48;1.19;-0.65;1.72;9.02;1.34;2.89;0.15;0.63;0.59;3.5;18.61;120311988.67;3.46;0.31;-46.75;12391135396.59
LAND3;27.95;0.73;116.55;3.93;2.78;92.97;58.27;21.03;42.05;41.98;-0.07;-0.01;24.51;-451.87;-2.93;0.9;3.37;2.38;6.96;0.71;0.29;0.11;;;1249234.21;7.11;0.24;-22.05;2689543587.9
LAVV3;5.76;13.63;6.32;0.97;0.65;40.62;27.45;29.39;6.77;3.74;-3.03;-0.43;1.86;1.15;-2.82;3.67;15.32;10.22;11.86;0.67;0.29;0.35;;;4312702.07;5.95;0.91;0.08;1149317867.52
LCAM3;24.15;6.08;10.12;2.42;0.65;41.45;29.33;14.6;5.04;8.43;3.4;1.63;1.48;20.46;-0.83;1.18;23.92;6.45;12.51;0.27;0.73;0.44;53.89;111.18;166957437.09;9.98;2.39;0.03;12285815275.65
LEVE3;25.61;16.41;5.83;1.85;1.09;26.54;19.21;15.36;4.66;4.49;-0.17;-0.07;0.9;4.07;-2.46;1.91;31.78;18.61;28.36;0.59;0.42;1.21;11.02;86.99;4323383.61;13.82;4.39;0.04;3.285.980.685,00
LIGT3;6.14;4.13;6.86;0.27;0.08;16.88;8.14;2.26;1.91;8.13;6.23;0.87;0.16;1.1;-0.12;1.33;3.87;1.2;2.98;0.31;0.69;0.53;9.08;;24990877.96;23.16;0.9;-0.22;2287489689.36
LJQQ3;8.16;1.5;58.79;2.91;0.6;36.16;5.76;1.18;12.08;13.27;1.2;0.29;0.7;2.21;-1.66;1.74;4.94;1.02;13.92;0.21;0.79;0.86;;;21156417.68;2.81;0.14;-0.82;1528288595.04
LLIS3;1.57;;-0.13;-0.18;0.07;54.02;-69.12;-91.77;-0.17;-2.85;-2.69;;0.11;-2;-0.1;0.9;-147.26;-56.31;-56.39;-0.38;1.38;0.61;-4.9;;422759.79;-8.52;-12.54;0;108095801.53
LOGG3;23.65;3.66;5.84;0.68;0.43;98.49;274.08;242.15;5.16;8.27;3.11;0.41;14.15;-21.82;-0.46;0.78;11.69;7.34;8.76;0.63;0.36;0.03;9.07;63.26;6192169.82;34.62;4.05;0.13;2416063992.1
LOGN3;36.9;;24.03;7.1;1.34;22.88;19.43;9.37;11.59;14.12;2.53;1.55;2.25;8.1;-2.1;1.83;29.53;5.56;16.93;0.19;0.81;0.59;11.96;11.68;6199671.11;5.2;1.54;7.83;3928989897.9
LPSB3;3.41;2.22;11.8;2.67;1.2;81.65;16.78;19.7;13.86;11.33;-2.53;-0.49;2.33;9.32;-1.81;1.63;22.67;10.19;15.24;0.45;0.56;0.52;8.4;;660100.64;1.27;0.29;0.02;503161291.71
LREN3;27.55;2.05;23.91;2.82;1.3;59.49;10.24;8.95;20.88;19.9;-0.98;-0.13;2.14;4.89;-3.64;1.71;11.81;5.44;8.94;0.46;0.54;0.61;10.38;12.77;327374884.21;9.75;1.15;0.09;27255327128.5
LUPA3;4.07;;7.28;0.9;0.24;25.98;-28.74;15.62;-3.96;-7.98;-4.03;0.91;1.14;0.89;-0.44;2.38;12.31;3.26;-13.16;0.26;0.74;0.21;-7.55;-6.87;2099844.21;4.54;0.56;-0.12;118889421.2
